step,C1,C2,C3,N_P3,A_E,Delta,R,C_mean
0,0.18,0.12,0.09,0.13,0.36787944117144233,1.0,0.0,0.13
1,0.18392159484288756,0.12420854080700129,0.09435201378905816,0.134160716479649,0.3696430135753979,0.9952175672647713,0.004782432735228751,0.134160716479649
2,0.1879686559042899,0.12855172828753064,0.09884326447915101,0.13845454955699052,0.37148068425336317,0.9902584101104741,0.009741589889525951,0.13845454955699052
3,0.1921451922105381,0.1330338648113092,0.10347820111169474,0.14288575271118067,0.37339624990467335,0.9851150910297319,0.014884908970268153,0.14288575271118067
4,0.1964553403080305,0.13765938959886198,0.10826141424427775,0.14745871471705677,0.3753937549811519,0.9797797906070158,0.02022020939298429,0.14745871471705677
5,0.2009033682501197,0.14243288300012844,0.11319764037513284,0.152177963875127,0.3774775121448065,0.9742442825447828,0.02575571745521733,0.152177963875127
6,0.2054936796998438,0.14735907089739333,0.11829176649616814,0.1570481723644684,0.3796521247926438,0.9684999066240982,0.031500093375901844,0.1570481723644684
7,0.21023081815064898,0.15244282923484279,0.12354883477693973,0.16207416072081052,0.381922511896412,0.9625375393908011,0.03746246060919903,0.16207416072081052
8,0.21511947126709557,0.15768918867688303,0.1289740473817768,0.1672609024419185,0.3842939354395804,0.9563475623332016,0.0436524376667985,0.1672609024419185
9,0.22016447534734485,0.16310333939715052,0.13457277142205343,0.1726135287221829,0.38677203077385947,0.9499198272887436,0.05008017271125656,0.1726135287221829
10,0.22537081990897997,0.16869063599988088,0.14035054404533143,0.1781373333180641,0.3893628402640388,0.9432436187844515,0.05675638121554862,0.1781373333180641
11,0.2307436523994166,0.17445660257498358,0.1463130776627672,0.18383777754572242,0.39207285064406655,0.9363076129786732,0.06369238702132694,0.18383777754572242
12,0.23628828303179214,0.18040693788777684,0.1524662653157693,0.1897204954117794,0.3949090345705368,0.929099832828831,0.07090016717116907,0.1897204954117794
13,0.24201018974677863,0.1865475207038599,0.15881618618240065,0.19579129887767974,0.39787889693382766,0.9216075990607,0.07839240093930004,0.19579129887767974
14,0.24791502330022522,0.1928844152490221,0.16536911122342066,0.202056183257556,0.40099052657413664,0.9138174764580307,0.0861825235419693,0.202056183257556
15,0.2540086124758859,0.1994238768033897,0.17213150896714166,0.20852133274880577,0.4042526541521455,0.90571521492583,0.09428478507417007,0.20852133274880577
16,0.26029696942170427,0.2061723574281704,0.17911005143140352,0.2151931260937594,0.40767471704513986,0.8972856847047253,0.1027143152952748,0.2151931260937594
17,0.26678629510718394,0.21313651182234367,0.18631162017992361,0.22207814236981707,0.4112669322829246,0.888512805025692,0.11148719497430805,0.22207814236981707
18,0.27348298489823863,0.2203232033054268,0.19374331250902094,0.2291831669042288,0.4150403787085335,0.8793794653917394,0.12062053460826057,0.2291831669042288
19,0.2803936342445536,0.22773950992098432,0.20141244775919975,0.23651519730824588,0.41900708975233647,0.8698674385531842,0.1301325614468158,0.23651519730824588
20,0.2875250444728486,0.23539273065378874,0.20932657374425886,0.2440814496236321,0.42318015845192763,0.8599572841025513,0.14004271589744857,0.2440814496236321
21,0.2948842286774623,0.24329039175142295,0.21749347328840335,0.25188936457242955,0.4275738566431124,0.8496282414498608,0.15037175855013907,0.25188936457242955
22,0.30247841769729994,0.25144025313856583,0.22592117085919883,0.2599466138983549,0.4322037706006697,0.8388581107440991,0.16114188925590073,0.2599466138983549
23,0.3103150661653211,0.25985031490912514,0.2346179392810272,0.26826110678515785,0.4370869558354873,0.8276231200759245,0.17237687992407527,0.26826110678515785
24,0.31840185861327924,0.2685288238776656,0.2435923065098588,0.2768409963336012,0.44224211427504134,0.8158977770225462,0.1841022229774536,0.2768409963336012
