shell,coherence,delta_state,recoil_order,phase
0,1.0,0.0,0.0,threshold
1,1.0,0.0,0.12,primary_recoil
2,1.0,0.02,0.24,primary_recoil
3,1.0,0.04,0.36,primary_recoil
4,1.0,0.06,0.48,primary_recoil
5,1.0,0.08,0.6,primary_recoil
6,1.0,0.1,0.72,primary_recoil
7,1.0,0.12,0.84,primary_recoil
8,1.0,0.14,0.96,primary_recoil
9,1.0,0.12,1.0,observed_maturity
10,1.0,0.12,1.0,observed_maturity
11,1.0,0.12,1.0,observed_maturity
12,1.0,0.12,1.0,observed_maturity
13,1.0,0.12,1.0,observed_maturity
14,1.0,0.12,1.0,observed_maturity
15,1.0,0.12,1.0,observed_maturity
16,1.0,0.15,1.0,controlled_extension
17,1.0,0.18,1.0,controlled_extension
18,1.0,0.21,1.0,controlled_extension
19,1.0,0.24,1.0,controlled_extension
20,1.0,0.27,1.0,controlled_extension
21,1.0,0.3,1.0,controlled_extension
22,1.0,0.35,1.0,echo_meridian_I
23,1.0,0.44999999999999996,1.0,echo_meridian_I
24,1.0,0.55,1.0,echo_meridian_I
25,1.0,0.63,1.0,echo_meridian_II
26,1.0,0.692,1.1400000000000001,echo_meridian_II
27,1.0,0.754,1.28,echo_meridian_II
28,1.0,0.8160000000000001,1.42,echo_meridian_II
29,1.0,0.878,1.56,echo_meridian_II
30,1.0,0.94,1.7000000000000002,echo_meridian_II
31,1.0,1.002,1.84,echo_meridian_II
32,1.0,0.97,1.895,conditional_recurrence
33,1.0,0.92,1.9500000000000002,conditional_recurrence
34,1.0,0.87,2.005,conditional_recurrence
35,1.0,0.8200000000000001,2.06,conditional_recurrence
36,1.0,0.77,2.115,conditional_recurrence
37,1.0,0.72,2.17,conditional_recurrence
38,1.0,0.7,2.225,conditional_recurrence
39,1.0,0.7,2.2800000000000002,conditional_recurrence
40,1.0,0.7,2.335,conditional_recurrence
41,1.0,0.7,2.39,conditional_recurrence
42,1.0,0.7,2.4450000000000003,conditional_recurrence
43,1.0,0.7,2.5,conditional_recurrence
44,1.0,0.7,2.555,conditional_recurrence
45,1.0,0.7,2.6100000000000003,conditional_recurrence
