shell,coherence,delta_state,recoil_order,phase
0,1.0,0.0,0.0,threshold
1,1.0,0.0,0.12,primary_recoil
2,1.0,0.02,0.24,primary_recoil
3,1.0,0.04,0.36,primary_recoil
4,1.0,0.06,0.48,primary_recoil
5,1.0,0.08,0.6,primary_recoil
6,1.0,0.1,0.72,primary_recoil
7,1.0,0.12,0.84,primary_recoil
8,1.0,0.14,0.96,primary_recoil
9,1.0,0.12,1.0,observed_maturity
10,1.0,0.12,1.0,observed_maturity
11,1.0,0.12,1.0,observed_maturity
12,1.0,0.12,1.0,observed_maturity
13,1.0,0.12,1.0,observed_maturity
14,1.0,0.12,1.0,observed_maturity
15,1.0,0.12,1.0,observed_maturity
16,1.0,0.155,1.0,controlled_extension
17,1.0,0.19,1.0,controlled_extension
18,1.0,0.225,1.0,controlled_extension
19,1.0,0.26,1.0,controlled_extension
20,1.0,0.29500000000000004,1.0,controlled_extension
21,1.0,0.33,1.0,controlled_extension
22,1.0,0.36,1.0,echo_meridian_I
23,1.0,0.47,1.0,echo_meridian_I
24,1.0,0.58,1.0,echo_meridian_I
25,1.0,0.66,1.0,echo_meridian_II
26,1.0,0.73,1.16,echo_meridian_II
27,1.0,0.8,1.32,echo_meridian_II
28,1.0,0.8700000000000001,1.48,echo_meridian_II
29,1.0,0.9400000000000001,1.6400000000000001,echo_meridian_II
30,1.0,1.01,1.8,echo_meridian_II
31,1.0,1.08,1.96,echo_meridian_II
32,1.0,1.0250000000000001,2.025,conditional_recurrence
33,1.0,0.9700000000000001,2.09,conditional_recurrence
34,1.0,0.915,2.155,conditional_recurrence
35,1.0,0.8600000000000001,2.2199999999999998,conditional_recurrence
36,1.0,0.805,2.285,conditional_recurrence
37,1.0,0.75,2.35,conditional_recurrence
38,1.0,0.6950000000000001,2.415,conditional_recurrence
39,1.0,0.68,2.48,conditional_recurrence
40,1.0,0.68,2.545,conditional_recurrence
41,1.0,0.68,2.61,conditional_recurrence
42,1.0,0.68,2.675,conditional_recurrence
43,1.0,0.68,2.74,conditional_recurrence
44,1.0,0.68,2.8049999999999997,conditional_recurrence
45,1.0,0.68,2.87,conditional_recurrence
