shell,coherence,delta_state,recoil_order,phase
0,1.0,0.0,0.0,threshold
1,1.0,0.0,0.12,primary_recoil
2,1.0,0.02,0.24,primary_recoil
3,1.0,0.04,0.36,primary_recoil
4,1.0,0.06,0.48,primary_recoil
5,1.0,0.08,0.6,primary_recoil
6,1.0,0.1,0.72,primary_recoil
7,1.0,0.12,0.84,primary_recoil
8,1.0,0.14,0.96,primary_recoil
9,1.0,0.12,1.0,observed_maturity
10,1.0,0.12,1.0,observed_maturity
11,1.0,0.12,1.0,observed_maturity
12,1.0,0.12,1.0,observed_maturity
13,1.0,0.12,1.0,observed_maturity
14,1.0,0.12,1.0,observed_maturity
15,1.0,0.12,1.0,observed_maturity
16,1.0,0.146,1.0,controlled_extension
17,1.0,0.172,1.0,controlled_extension
18,1.0,0.198,1.0,controlled_extension
19,1.0,0.22399999999999998,1.0,controlled_extension
20,1.0,0.25,1.0,controlled_extension
21,1.0,0.276,1.0,controlled_extension
22,1.0,0.33,1.0,echo_meridian_I
23,1.0,0.42000000000000004,1.0,echo_meridian_I
24,1.0,0.51,1.0,echo_meridian_I
25,1.0,0.6,1.0,echo_meridian_II
26,1.0,0.655,1.12,echo_meridian_II
27,1.0,0.71,1.24,echo_meridian_II
28,1.0,0.765,1.3599999999999999,echo_meridian_II
29,1.0,0.82,1.48,echo_meridian_II
30,1.0,0.875,1.6,echo_meridian_II
31,1.0,0.9299999999999999,1.72,echo_meridian_II
32,1.0,0.94,1.765,conditional_recurrence
33,1.0,0.9,1.81,conditional_recurrence
34,1.0,0.86,1.855,conditional_recurrence
35,1.0,0.82,1.9,conditional_recurrence
36,1.0,0.78,1.9449999999999998,conditional_recurrence
37,1.0,0.74,1.99,conditional_recurrence
38,1.0,0.72,2.035,conditional_recurrence
39,1.0,0.72,2.08,conditional_recurrence
40,1.0,0.72,2.125,conditional_recurrence
41,1.0,0.72,2.17,conditional_recurrence
42,1.0,0.72,2.215,conditional_recurrence
43,1.0,0.72,2.26,conditional_recurrence
44,1.0,0.72,2.3049999999999997,conditional_recurrence
45,1.0,0.72,2.35,conditional_recurrence
